annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound			
279	4.975	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
294	5.179166667	0.744897959	0.049913686	0.694984274	0.794811645	FALSE	FALSE	FALSE
300	5.483333333	0.736666667	0.049923029	0.686743638	0.786589695	FALSE	FALSE	FALSE
301	5.490277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	4.840277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
279	5.0375	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
261	4.6125	0.785440613	0.049899001	0.735541612	0.835339614	FALSE	FALSE	FALSE
295	5.223611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
265	4.765277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
277	4.911111111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
297	5.35	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
283	5.090277778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
288	5.1875	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
267	4.779166667	0.779026217	0.049860162	0.729166055	0.828886379	FALSE	FALSE	FALSE
261	4.675	0.785440613	0.049899001	0.735541612	0.835339614	FALSE	FALSE	FALSE
240	4.404166667	0.808333333	0.049901969	0.758431365	0.858235302	FALSE	FALSE	FALSE
292	5.277777778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
281	5.126388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
259	4.561111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
295	5.298611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
281	4.988888889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
251	4.555555556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
301	5.440277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
295	5.273611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
289	5.119444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
274	4.940277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
284	5.097222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
274	5.002777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
289	5.119444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
301	5.465277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	4.927777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
286	5.111111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
288	5.125	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
295	5.323611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
281	5.176388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
257	4.522222222	0.789883268	0.04990452	0.739978748	0.839787789	FALSE	FALSE	FALSE
303	5.529166667	0.732673267	0.049913841	0.682759427	0.782587108	FALSE	FALSE	FALSE
235	4.244444444	0.812765957	0.049982195	0.762783763	0.862748152	FALSE	FALSE	FALSE
263	4.651388889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
265	4.790277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
274	4.990277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
283	5.065277778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
304	5.361111111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
318	5.658333333	0.710691824	0.049915965	0.660775859	0.760607789	FALSE	FALSE	FALSE
301	5.552777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
268	4.823611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
284	5.134722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
286	5.186111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
283	5.065277778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
289	5.069444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
286	5.136111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
283	5.140277778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
259	4.761111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
307	5.381944444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
297	5.3	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
306	5.525	0.72875817	0.049896286	0.678861884	0.778654456	FALSE	FALSE	FALSE
259	4.698611111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
284	5.122222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
291	5.420833333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
300	5.308333333	0.736666667	0.049923029	0.686743638	0.786589695	FALSE	FALSE	FALSE
294	5.254166667	0.744897959	0.049913686	0.694984274	0.794811645	FALSE	FALSE	FALSE
304	5.386111111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
318	5.770833333	0.710691824	0.049915965	0.660775859	0.760607789	FALSE	FALSE	FALSE
306	5.55	0.72875817	0.049896286	0.678861884	0.778654456	FALSE	FALSE	FALSE
301	5.402777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
259	4.686111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
279	5.05	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
274	4.927777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
286	5.098611111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
286	5.086111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
283	5.102777778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
292	5.177777778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
281	5.101388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
324	5.8125	0.700617284	0.049945989	0.650671295	0.750563273	FALSE	FALSE	FALSE
307	5.481944444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
272	4.838888889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
272	4.951388889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
295	5.348611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
261	4.7	0.785440613	0.049899001	0.735541612	0.835339614	FALSE	FALSE	FALSE
265	4.652777778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
279	5.0375	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
205	3.598611111	0.843902439	0.049805487	0.794096952	0.893707926	FALSE	FALSE	FALSE
270	4.8	0.774074074	0.049974246	0.724099828	0.82404832	FALSE	FALSE	FALSE
244	4.306944444	0.803278689	0.049980867	0.753297822	0.853259555	FALSE	FALSE	FALSE
279	4.95	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
277	4.948611111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
274	5.077777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
304	5.486111111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
291	5.283333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
310	5.540277778	0.722580645	0.049920668	0.672659977	0.772501314	FALSE	FALSE	FALSE
283	5.002777778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
309	5.483333333	0.724919094	0.04987096	0.675048134	0.774790054	FALSE	FALSE	FALSE
298	5.394444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
292	5.302777778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
291	5.158333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
249	4.554166667	0.799196787	0.049857953	0.749338834	0.84905474	FALSE	FALSE	FALSE
255	4.570833333	0.792156863	0.049900474	0.742256389	0.842057337	FALSE	FALSE	FALSE
272	4.851388889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
309	5.445833333	0.724919094	0.04987096	0.675048134	0.774790054	FALSE	FALSE	FALSE
297	5.2	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
265	4.690277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
259	4.673611111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
281	4.913888889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
284	5.109722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
297	5.325	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
291	5.258333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
281	5.076388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
301	5.577777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
267	4.841666667	0.779026217	0.049860162	0.729166055	0.828886379	FALSE	FALSE	FALSE
292	5.177777778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
240	4.291666667	0.808333333	0.049901969	0.758431365	0.858235302	FALSE	FALSE	FALSE
274	4.852777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
279	4.9125	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
297	5.2875	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
265	4.827777778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
301	5.352777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
301	5.452777778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
284	5.059722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
291	5.283333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
272	4.888888889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
259	4.673611111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
257	4.497222222	0.789883268	0.04990452	0.739978748	0.839787789	FALSE	FALSE	FALSE
265	4.740277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
289	5.206944444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
268	4.798611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
265	4.815277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
272	4.863888889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
288	5.15	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
279	5.05	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
306	5.425	0.72875817	0.049896286	0.678861884	0.778654456	FALSE	FALSE	FALSE
213	3.779166667	0.835680751	0.049882083	0.785798668	0.885562834	FALSE	FALSE	FALSE
257	4.547222222	0.789883268	0.04990452	0.739978748	0.839787789	FALSE	FALSE	FALSE
242	4.343055556	0.805785124	0.049944818	0.755840306	0.855729942	FALSE	FALSE	FALSE
286	5.198611111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
297	5.3	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
317	5.801388889	0.712933754	0.049879283	0.663054471	0.762813037	FALSE	FALSE	FALSE
318	5.570833333	0.710691824	0.049915965	0.660775859	0.760607789	FALSE	FALSE	FALSE
309	5.558333333	0.724919094	0.04987096	0.675048134	0.774790054	FALSE	FALSE	FALSE
298	5.369444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
297	5.2625	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
284	5.097222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
279	4.975	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
288	5.1875	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
255	4.495833333	0.792156863	0.049900474	0.742256389	0.842057337	FALSE	FALSE	FALSE
289	5.194444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
279	5.1	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
249	4.504166667	0.799196787	0.049857953	0.749338834	0.84905474	FALSE	FALSE	FALSE
311	5.634722222	0.720257235	0.04996783	0.670289405	0.770225065	FALSE	FALSE	FALSE
284	5.034722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
263	4.776388889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
259	4.698611111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
286	5.186111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
310	5.665277778	0.722580645	0.049920668	0.672659977	0.772501314	FALSE	FALSE	FALSE
284	5.034722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
265	4.777777778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
268	4.898611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
291	5.245833333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
301	5.365277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
265	4.915277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
284	4.997222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
233	4.143055556	0.815450644	0.049918233	0.765532411	0.865368877	FALSE	FALSE	FALSE
281	5.101388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
265	4.840277778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
295	5.348611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
289	5.194444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
306	5.45	0.72875817	0.049896286	0.678861884	0.778654456	FALSE	FALSE	FALSE
281	5.051388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
277	4.948611111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
265	4.702777778	0.781132075	0.049876897	0.731255179	0.831008972	FALSE	FALSE	FALSE
311	5.634722222	0.720257235	0.04996783	0.670289405	0.770225065	FALSE	FALSE	FALSE
251	4.443055556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
320	5.709722222	0.70625	0.049982839	0.656267161	0.756232839	FALSE	FALSE	FALSE
279	5.0375	0.76344086	0.049955494	0.713485366	0.813396354	FALSE	FALSE	FALSE
277	4.923611111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
289	5.244444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
311	5.534722222	0.720257235	0.04996783	0.670289405	0.770225065	FALSE	FALSE	FALSE
289	5.069444444	0.750865052	0.049951682	0.70091337	0.800816734	FALSE	FALSE	FALSE
295	5.286111111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
261	4.775	0.785440613	0.049899001	0.735541612	0.835339614	FALSE	FALSE	FALSE
253	4.556944444	0.794466403	0.04989155	0.744574853	0.844357954	FALSE	FALSE	FALSE
306	5.5125	0.72875817	0.049896286	0.678861884	0.778654456	FALSE	FALSE	FALSE
281	5.013888889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
247	4.377777778	0.801619433	0.049832677	0.751786756	0.85145211	FALSE	FALSE	FALSE
284	5.109722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
251	4.368055556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
277	4.873611111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
311	5.672222222	0.720257235	0.04996783	0.670289405	0.770225065	FALSE	FALSE	FALSE
307	5.431944444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
242	4.393055556	0.805785124	0.049944818	0.755840306	0.855729942	FALSE	FALSE	FALSE
251	4.555555556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
294	5.316666667	0.744897959	0.049913686	0.694984274	0.794811645	FALSE	FALSE	FALSE
270	4.85	0.774074074	0.049974246	0.724099828	0.82404832	FALSE	FALSE	FALSE
284	5.009722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
244	4.394444444	0.803278689	0.049980867	0.753297822	0.853259555	FALSE	FALSE	FALSE
298	5.231944444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
251	4.455555556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
298	5.369444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
298	5.444444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
272	4.926388889	0.772058824	0.049945922	0.722112902	0.822004745	FALSE	FALSE	FALSE
304	5.498611111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
277	4.911111111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
286	5.148611111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
253	4.594444444	0.794466403	0.04989155	0.744574853	0.844357954	FALSE	FALSE	FALSE
295	5.286111111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
284	5.109722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
276	4.979166667	0.768115942	0.049880475	0.718235467	0.817996417	FALSE	FALSE	FALSE
298	5.219444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
277	4.911111111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
314	5.618055556	0.71656051	0.049926663	0.666633847	0.766487172	FALSE	FALSE	FALSE
270	4.9	0.774074074	0.049974246	0.724099828	0.82404832	FALSE	FALSE	FALSE
297	5.375	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
284	5.159722222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
298	5.281944444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
284	5.097222222	0.757042254	0.049966659	0.707075595	0.807008912	FALSE	FALSE	FALSE
277	5.048611111	0.76534296	0.04999636	0.7153466	0.815339321	FALSE	FALSE	FALSE
298	5.419444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
291	5.158333333	0.749140893	0.049893708	0.699247186	0.799034601	FALSE	FALSE	FALSE
281	5.088888889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
301	5.465277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	5.040277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
310	5.627777778	0.722580645	0.049920668	0.672659977	0.772501314	FALSE	FALSE	FALSE
295	5.236111111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
307	5.494444444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
297	5.325	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
317	5.713888889	0.712933754	0.049879283	0.663054471	0.762813037	FALSE	FALSE	FALSE
303	5.491666667	0.732673267	0.049913841	0.682759427	0.782587108	FALSE	FALSE	FALSE
292	5.215277778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
304	5.386111111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
218	3.951388889	0.830275229	0.049946134	0.780329095	0.880221364	FALSE	FALSE	FALSE
276	4.954166667	0.768115942	0.049880475	0.718235467	0.817996417	FALSE	FALSE	FALSE
288	5.0375	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
259	4.636111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
288	5.2375	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
301	5.515277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	4.940277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
251	4.505555556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
295	5.273611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
286	5.261111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
297	5.35	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
259	4.661111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
294	5.166666667	0.744897959	0.049913686	0.694984274	0.794811645	FALSE	FALSE	FALSE
263	4.638888889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
249	4.454166667	0.799196787	0.049857953	0.749338834	0.84905474	FALSE	FALSE	FALSE
238	4.190277778	0.81092437	0.049851918	0.761072452	0.860776288	FALSE	FALSE	FALSE
268	4.848611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
320	5.759722222	0.70625	0.049982839	0.656267161	0.756232839	FALSE	FALSE	FALSE
276	4.954166667	0.768115942	0.049880475	0.718235467	0.817996417	FALSE	FALSE	FALSE
295	5.273611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
240	4.304166667	0.808333333	0.049901969	0.758431365	0.858235302	FALSE	FALSE	FALSE
